schule,schuleLabel,koord,adresse,gründung,jedeschuleID,schulnummer,ausbildungsberufe,teil_von,besteht_aus,website
http://www.wikidata.org/entity/Q134359071,Berufliches Schulzentrum Hechingen,Point(8.9572977 48.3515278),"Schloßackerstr. 82, 72379 Hechingen",,BW-04102362,,Koch [29302]; Altenpflegehelfer [–]; Verkäufer [62102]; Fachmann für Systemgastronomie [63312]; Industriekaufmann [71302]; Kaufmann für Groß- und Außenhandelsmanagement [61212]; Pflegefachmann [–]; Restaurantfachmann [63302050]; Kaufmann für Büromanagement [71402]; Kaufmann im Einzelhandel [62102010]; Hotelfachmann [63222],,,http://www.bsz-hechingen.de/
http://www.wikidata.org/entity/Q134359110,Kaufmännische Schule Göppingen,Point(9.632992 48.702958),"Christian-Grüninger-Str. 12, 73035 Göppingen",,BW-04100109,,Verkäufer [62102]; Automobilkaufmann [62272]; Bankkaufmann [72112010]; Kaufmann für IT-System-Management [43232]; Industriekaufmann [71302]; Kaufmann für Groß- und Außenhandelsmanagement [61212]; Steuerfachangestellter [72302]; Kaufmann für Büromanagement [71402]; Kaufmann im Einzelhandel [62102010]; Kaufmann im E-Commerce [61282]; Kaufmann für Digitalisierungsmanagement [43112],,,http://www.ks-goeppingen.de
http://www.wikidata.org/entity/Q134359180,Berufliche Schulen Oberndorf-Sulz,Point(8.5800962 48.2884371),"Teckstr. 35, 78727 Oberndorf am Neckar",,BW-04102131,,Verkäufer [62102]; Elektroniker für Betriebstechnik [26252310]; Elektroniker für Geräte und Systeme [26302]; Industriekaufmann [71302]; Industriemechaniker [25102]; Kaufmann im Einzelhandel [62102010]; Elektroniker der Fachrichtung Energie- und Gebäudetechnik [26212421]; Metallfeinbearbeiter [24202],,,http://www.bos-schule.de
http://www.wikidata.org/entity/Q134359211,Gewerbliche Schule Geislingen an der Steige,Point(9.8226238 48.627473),"Rheinlandstr. 80, 73312 Geislingen an der Steige",,BW-04101229,,"Friseur [82312310]; Tischler [22342350]; Maurer [32122]; Zahnmedizinischer Fachangestellter [81112]; Anlagenmechaniker für Sanitär-, Heizungs- und Klimatechnik [34212]; Beton- und Stahlbetonbauer [32112]; Fachkraft für Metalltechnik [25112]; Fertigungsmechaniker [25112]; Gleisbauer [32232]; Hochbaufacharbeiter [32102]; Industriemechaniker [25102]; Maschinen- und Anlagenführer [25122]; Konstruktionsmechaniker [24412]; Werkzeugmechaniker [24522]; Stuckateur [33222]; Medizinischer Fachangestellter [81102]; Straßenbauer [32222]",,,http://www.gewerblicheschule.de
http://www.wikidata.org/entity/Q134359271,Hohentwiel-Gewerbeschule,Point(8.8353378 47.768757),"Uhlandstr. 27, 78224 Singen (Hohentwiel)",,BW-04102209,,Zerspanungsmechaniker [24232]; Kfz-Mechatroniker [25212]; Elektroniker für Betriebstechnik [26252310]; Elektroniker für Geräte und Systeme [26302]; Fachkraft für Metalltechnik [25112]; Fertigungsmechaniker [25112]; Industriemechaniker [25102]; Maschinen- und Anlagenführer [25122]; Werkzeugmechaniker [24522]; Mechatroniker [26112]; Elektroniker der Fachrichtung Energie- und Gebäudetechnik [26212421]; Verfahrenstechnologe Metall [24122]; Verfahrenstechnologe Metall [24112],,,http://www.hgs-singen.de
http://www.wikidata.org/entity/Q134359341,Berufliche Schulen Schramberg,Point(8.4228149 48.2248281),"Wittumweg 13, 78713 Schramberg",,BW-04102192,,Friseur [82312310]; Zerspanungsmechaniker [24232]; Maler und Lackierer [33212]; Tischler [22342350]; Altenpflegehelfer [–]; Verkäufer [62102]; Holzmechaniker [22342]; Industriekaufmann [71302]; Industriemechaniker [25102]; Maschinen- und Anlagenführer [25122]; Werkzeugmechaniker [24522]; Kaufmann im Einzelhandel [62102010]; Mechatroniker [26112],,,http://www.bs-schramberg.de
http://www.wikidata.org/entity/Q19279208,Erich-Gutenberg-Berufskolleg Köln,Point(7.0193918 50.9513494),Modemannstraße 25,1965-01-01T00:00:00Z,NW-188610,188610,Kaufmann für IT-System-Management [43232]; Steuerfachangestellter [72302]; Kaufmann für Büromanagement [71402]; Kaufmann im E-Commerce [61282]; Kaufmann für Digitalisierungsmanagement [43112],,,http://www.egb-koeln.de/
http://www.wikidata.org/entity/Q20754385,Maria-Lenssen-Berufskolleg,Point(6.44308 51.17035),"Werner-Gilles-Str. 20-32, 41236 Mönchengladbach",,NW-172972,172972,Friseur [82312310]; Sozialassistent [–]; Kosmetiker [82322]; Kinderpfleger [–]; Bekleidungstechnischer Assistent [–],,,http://www.maria-lenssen-berufskolleg.de
http://www.wikidata.org/entity/Q21334538,Fritz-Henßler-Berufskolleg,Point(7.47046 51.51763),"Brügmannstraße 25, 44135 Dortmund",1904-01-01T00:00:00Z,NW-179966,179966,"Fotograf [23322]; Zimmerer [33322320]; Maler und Lackierer [33212]; Tischler [22342350]; Maurer [32122]; Dachdecker [32142330]; Glaser [33342]; Ausbaufacharbeiter [33302320]; Brauer und Mälzer [29112]; Brenner [29132]; Fahrzeuglackierer [22212]; Medientechnologe Druckverarbeitung [23422]; Gerüstbauer [32162]; Hochbaufacharbeiter [32102]; Medientechnologe Siebdruck [23412]; Mediengestalter Bild und Ton [94532]; Maschinen- und Anlagenführer [25122]; Medientechnologe Druck [23412]; Polster- und Dekorationsnäher [28232]; Schilder- und Lichtreklamehersteller [93542]; Vermessungstechniker [31212710]; Chemielaborant [41322010]; Destillateur [29132]; Bauten- und Objektbeschichter [33212320]; Fliesen-, Platten- und Mosaikleger [33112]; Gebäudereiniger [54112]; Raumausstatter [93232]",,,http://www.fhbk.de/
http://www.wikidata.org/entity/Q134713813,Berufsbildende Schule Bad Dürkheim,Point(8.1671192 49.4672034),"Im Salzbrunnen 7, 67098 Bad Dürkheim",,RP-60419,60419,Friseur [82312310]; Verkäufer [62102]; Kfz-Mechatroniker [25212]; Automobilkaufmann [62272]; Fahrradmonteur [25252]; Industriekaufmann [71302]; Kaufmann für Groß- und Außenhandelsmanagement [61212]; Augenoptiker [82524]; Veranstaltungskaufmann [63402]; Kaufmann für Büromanagement [71402]; Kaufmann im Einzelhandel [62102010]; Berufskraftfahrer [52122]; Zweiradmechatroniker [25252]; Metallbauer [24412]; Land- und Baumaschinenmechatroniker [25222],,,https://www.bbs-duew.de/
