QID,schoolLabel,namedAfter
http://www.wikidata.org/entity/Q134136643,Anna-Freud-Schule,Anna Freud
http://www.wikidata.org/entity/Q134301801,Anna-Freud-Schule Ludwigshafen,Anna Freud
http://www.wikidata.org/entity/Q134138037,Ruth-Cohn-Schule,Ruth Cohn
http://www.wikidata.org/entity/Q134356783,Louis-Leitz-Schule,Louis Leitz
http://www.wikidata.org/entity/Q134135150,Leopold-Ullstein-Schule,Leopold Ullstein
http://www.wikidata.org/entity/Q134126879,Hans-Böckler-Schule Berlin,Hans Böckler
http://www.wikidata.org/entity/Q134287876,Alice Salomon Schule Linz,Alice Salomon
http://www.wikidata.org/entity/Q134311296,Berufsbildende Schulen Cora Berliner,Cora Berliner
http://www.wikidata.org/entity/Q134312778,Arnoldi-Schule,Ernst Wilhelm Arnoldi
http://www.wikidata.org/entity/Q134367200,"Staatliches Berufsbildungszentrum Weimar ""Janusz Korczak""",Janusz Korczak
http://www.wikidata.org/entity/Q134126723,Friedrich-List-Schule Berlin,Friedrich List
http://www.wikidata.org/entity/Q134126546,Brillat-Savarin-Schule,Jean Anthelme Brillat-Savarin
http://www.wikidata.org/entity/Q134225124,"Berufliche Schule ""Alexander Schmorell""",Alexander Schmorell
http://www.wikidata.org/entity/Q134285944,Andreas-Albert-Schule,Andreas Albert
http://www.wikidata.org/entity/Q134308115,Berufsbildende Schule Anne-Marie Tausch,Anne-Marie Tausch
http://www.wikidata.org/entity/Q134287867,Carl-Burger-Schule,Carl Burger
http://www.wikidata.org/entity/Q134084518,"Berufliches Schulzentrum für Gesundheit, Technik und Wirtschaft des Erzgebirgskreises ""Erdmann Kircheis""",Carl Erdmann Kircheis
http://www.wikidata.org/entity/Q134170743,Eduard-Maurer-Oberstufenzentrum,Eduard Maurer
http://www.wikidata.org/entity/Q134084126,"Berufliches Schulzentrum für Gastgewerbe Dresden ""Ernst Lößnitzer""",Ernst Lößnitzer
http://www.wikidata.org/entity/Q134357030,Steinbeisschule Stuttgart,Ferdinand von Steinbeis
